GLOBAL SETTINGS VARIABLES,,,,,FIXED LENGTH,,,,,,PHP TEMPORARY VARIABLE,,,,,,,,,,
Count,charecteristic,length,max_length,remainder,same length string,"len_
after",table_name,"table_
name_
length",table_name same length,"len_
after",weight_in_table ,"weight_in_table
same length","len
after",big_firm_effective_weight,"len_
after",small_firm_effective_weight,"len_
after",big_firm_max_score,"len_
after",small_firm_max_score,
,charecteristic,14,35,21,charecteristic                        ,38,table_name,10,table_name                ,26,weight_in_table ,weight_in_table                             ,44,big_firm_effective_weight                              ,55,small_firm_effective_weight                            ,55,big_firm_max_score                           ,45,small_firm_max_score                        ,44
1,bfFinancialAnalysis,19,35,16,$bfFinancialAnalysis                ,36,GlobalSettings,14,GlobalSettings          ,24,bfFinancialAnalysisPercentage,bfFinancialAnalysisPercentage             ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
2,bfManagementAnalysis,20,35,15,$bfManagementAnalysis               ,36,GlobalSettings,14,GlobalSettings          ,24,bfManagementAnalysisPercentage,bfManagementAnalysisPercentage            ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
3,bfIndustryAnalysis,18,35,17,$bfIndustryAnalysis                 ,36,GlobalSettings,14,GlobalSettings          ,24,bfIndustryAnalysisPercentage,bfIndustryAnalysisPercentage              ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
4,bfShareholderAnalysis,21,35,14,$bfShareholderAnalysis              ,36,GlobalSettings,14,GlobalSettings          ,24,bfShareholderAnalysisPercentage,bfShareholderAnalysisPercentage           ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
5,TotalScore,10,35,25,$TotalScore                         ,36,GlobalSettings,14,GlobalSettings          ,24,null,null                                      ,42,null                                                 ,53,null                                                 ,53,$bfTotalScore                              ,43,$sfTotalScore                              ,43
6,sfFinancialAnalysis,19,35,16,$sfFinancialAnalysis                ,36,GlobalSettings,14,GlobalSettings          ,24,sfFinancialAnalysisPercentage,sfFinancialAnalysisPercentage             ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
7,sfManagementAnalysis,20,35,15,$sfManagementAnalysis               ,36,GlobalSettings,14,GlobalSettings          ,24,sfManagementAnalysisPercentage,sfManagementAnalysisPercentage            ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
8,sfIndustryAnalysis,18,35,17,$sfIndustryAnalysis                 ,36,GlobalSettings,14,GlobalSettings          ,24,sfIndustryAnalysisPercentage,sfIndustryAnalysisPercentage              ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
9,sfShareholderAnalysis,21,35,14,$sfShareholderAnalysis              ,36,GlobalSettings,14,GlobalSettings          ,24,sfShareholderAnalysisPercentage,sfShareholderAnalysisPercentage           ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
11,TurnoverThreshold,17,35,18,$TurnoverThreshold                  ,36,GlobalSettings,14,GlobalSettings          ,24,$TurnoverThreshold                  ,$TurnoverThreshold                        ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
12,RatioWeightYear1,16,35,19,$RatioWeightYear1                   ,36,GlobalSettings,14,GlobalSettings          ,24,$RatioWeightYear1                   ,$RatioWeightYear1                         ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
13,RatioWeightYear2,16,35,19,$RatioWeightYear2                   ,36,GlobalSettings,14,GlobalSettings          ,24,$RatioWeightYear2                   ,$RatioWeightYear2                         ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
14,RatioWeightYear3,16,35,19,$RatioWeightYear3                   ,36,GlobalSettings,14,GlobalSettings          ,24,$RatioWeightYear3                   ,$RatioWeightYear3                         ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
15,update_notes,12,35,23,$update_notes                       ,36,GlobalSettings,14,GlobalSettings          ,24,$update_notes                       ,$update_notes                             ,42,null                                                 ,53,null                                                 ,53,null                                       ,43,null                                       ,43
16,LiquidityCategory,17,35,18,$LiquidityCategory                  ,36,FinancialSettings,17,FinancialSettings       ,24,$LiquidityCategoryWeight,$LiquidityCategoryWeight                  ,42,$bfLiquidityCategoryEffectiveWeight                  ,53,$sfLiquidityCategoryEffectiveWeight                  ,53,$bfLiquidityCategoryScore                  ,43,$sfLiquidityCategoryScore                  ,43
17,ProfitabilityCategory,21,35,14,$ProfitabilityCategory              ,36,FinancialSettings,17,FinancialSettings       ,24,$ProfitabilityCategoryWeight,$ProfitabilityCategoryWeight              ,42,$bfProfitabilityCategoryEffectiveWeight              ,53,$sfProfitabilityCategoryEffectiveWeight              ,53,$bfProfitabilityCategoryScore              ,43,$sfProfitabilityCategoryScore              ,43
18,CapitalStructureCategory,24,35,11,$CapitalStructureCategory           ,36,FinancialSettings,17,FinancialSettings       ,24,$CapitalStructureCategoryWeight,$CapitalStructureCategoryWeight           ,42,$bfCapitalStructureCategoryEffectiveWeight           ,53,$sfCapitalStructureCategoryEffectiveWeight           ,53,$bfCapitalStructureCategoryScore           ,43,$sfCapitalStructureCategoryScore           ,43
19,DebtServiceCategory,19,35,16,$DebtServiceCategory                ,36,FinancialSettings,17,FinancialSettings       ,24,$DebtServiceCategoryWeight,$DebtServiceCategoryWeight                ,42,$bfDebtServiceCategoryEffectiveWeight                ,53,$sfDebtServiceCategoryEffectiveWeight                ,53,$bfDebtServiceCategoryScore                ,43,$sfDebtServiceCategoryScore                ,43
20,CurrentRatio,12,35,23,$CurrentRatio                       ,36,LiquiditySettings,17,LiquiditySettings       ,24,$CurrentRatioWeight,$CurrentRatioWeight                       ,42,$bfCurrentRatioEffectiveWeight                       ,53,$sfCurrentRatioEffectiveWeight                       ,53,$bfCurrentRatioScore                       ,43,$sfCurrentRatioScore                       ,43
21,DebtorDays,10,35,25,$DebtorDays                         ,36,LiquiditySettings,17,LiquiditySettings       ,24,$DebtorDaysWeight,$DebtorDaysWeight                         ,42,$bfDebtorDaysEffectiveWeight                         ,53,$sfDebtorDaysEffectiveWeight                         ,53,$bfDebtorDaysScore                         ,43,$sfDebtorDaysScore                         ,43
22,TurnoverToWorkingCapital,24,35,11,$TurnoverToWorkingCapital           ,36,LiquiditySettings,17,LiquiditySettings       ,24,$TurnoverToWorkingCapitalWeight,$TurnoverToWorkingCapitalWeight           ,42,$bfTurnoverToWorkingCapitalEffectiveWeight           ,53,$sfTurnoverToWorkingCapitalEffectiveWeight           ,53,$bfTurnoverToWorkingCapitalScore           ,43,$sfTurnoverToWorkingCapitalScore           ,43
23,GrossProfitMargin,17,35,18,$GrossProfitMargin                  ,36,ProfitabilitySettings,21,ProfitabilitySettings   ,24,$GrossProfitMarginWeight,$GrossProfitMarginWeight                  ,42,$bfGrossProfitMarginEffectiveWeight                  ,53,$sfGrossProfitMarginEffectiveWeight                  ,53,$bfGrossProfitMarginScore                  ,43,$sfGrossProfitMarginScore                  ,43
24,OperatingProfit,15,35,20,$OperatingProfit                    ,36,ProfitabilitySettings,21,ProfitabilitySettings   ,24,$OperatingProfitWeight,$OperatingProfitWeight                    ,42,$bfOperatingProfitEffectiveWeight                    ,53,$sfOperatingProfitEffectiveWeight                    ,53,$bfOperatingProfitScore                    ,43,$sfOperatingProfitScore                    ,43
25,TurnoverGrowth,14,35,21,$TurnoverGrowth                     ,36,ProfitabilitySettings,21,ProfitabilitySettings   ,24,$TurnoverGrowthWeight,$TurnoverGrowthWeight                     ,42,$bfTurnoverGrowthEffectiveWeight                     ,53,$sfTurnoverGrowthEffectiveWeight                     ,53,$bfTurnoverGrowthScore                     ,43,$sfTurnoverGrowthScore                     ,43
26,ReturnOnAssets,14,35,21,$ReturnOnAssets                     ,36,ProfitabilitySettings,21,ProfitabilitySettings   ,24,$ReturnOnAssetsWeight,$ReturnOnAssetsWeight                     ,42,$bfReturnOnAssetsEffectiveWeight                     ,53,$sfReturnOnAssetsEffectiveWeight                     ,53,$bfReturnOnAssetsScore                     ,43,$sfReturnOnAssetsScore                     ,43
27,ReturnOnInvestments,19,35,16,$ReturnOnInvestments                ,36,ProfitabilitySettings,21,ProfitabilitySettings   ,24,$ReturnOnInvestmentsWeight,$ReturnOnInvestmentsWeight                ,42,$bfReturnOnInvestmentsEffectiveWeight                ,53,$sfReturnOnInvestmentsEffectiveWeight                ,53,$bfReturnOnInvestmentsScore                ,43,$sfReturnOnInvestmentsScore                ,43
28,DebtToEquity,12,35,23,$DebtToEquity                       ,36,CapitalStructureSettings,24,CapitalStructureSettings,24,$DebtToEquityWeight,$DebtToEquityWeight                       ,42,$bfDebtToEquityEffectiveWeight                       ,53,$sfDebtToEquityEffectiveWeight                       ,53,$bfDebtToEquityScore                       ,43,$sfDebtToEquityScore                       ,43
29,DebtToTangibleNetWorth,22,35,13,$DebtToTangibleNetWorth             ,36,CapitalStructureSettings,24,CapitalStructureSettings,24,$DebtToTangibleNetWorthWeight,$DebtToTangibleNetWorthWeight             ,42,$bfDebtToTangibleNetWorthEffectiveWeight             ,53,$sfDebtToTangibleNetWorthEffectiveWeight             ,53,$bfDebtToTangibleNetWorthScore             ,43,$sfDebtToTangibleNetWorthScore             ,43
30,ShareholdersFundsToTotalAssets,30,35,5,$ShareholdersFundsToTotalAssets     ,36,CapitalStructureSettings,24,CapitalStructureSettings,24,$ShareholdersFundsToTotalAssetsWeight,$ShareholdersFundsToTotalAssetsWeight     ,42,$bfShareholdersFundsToTotalAssetsEffectiveWeight     ,53,$sfShareholdersFundsToTotalAssetsEffectiveWeight     ,53,$bfShareholdersFundsToTotalAssetsScore     ,43,$sfShareholdersFundsToTotalAssetsScore     ,43
31,InterestCover,13,35,22,$InterestCover                      ,36,DebtServiceSettings,19,DebtServiceSettings     ,24,$InterestCoverWeight,$InterestCoverWeight                      ,42,$bfInterestCoverEffectiveWeight                      ,53,$sfInterestCoverEffectiveWeight                      ,53,$bfInterestCoverScore                      ,43,$sfInterestCoverScore                      ,43
32,EBITDAToGrossIntDebts,21,35,14,$EBITDAToGrossIntDebts              ,36,DebtServiceSettings,19,DebtServiceSettings     ,24,$EBITDAToGrossIntDebtsWeight,$EBITDAToGrossIntDebtsWeight              ,42,$bfEBITDAToGrossIntDebtsEffectiveWeight              ,53,$sfEBITDAToGrossIntDebtsEffectiveWeight              ,53,$bfEBITDAToGrossIntDebtsScore              ,43,$sfEBITDAToGrossIntDebtsScore              ,43
33,CommitmentCategory,18,35,17,$CommitmentCategory                 ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$CommitmentCategoryWeight,$CommitmentCategoryWeight                 ,42,$bfCommitmentCategoryEffectiveWeight                 ,53,$sfCommitmentCategoryEffectiveWeight                 ,53,$bfCommitmentCategoryScore                 ,43,$sfCommitmentCategoryScore                 ,43
34,IntegrityCategory,17,35,18,$IntegrityCategory                  ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$IntegrityCategoryWeight,$IntegrityCategoryWeight                  ,42,$bfIntegrityCategoryEffectiveWeight                  ,53,$sfIntegrityCategoryEffectiveWeight                  ,53,$bfIntegrityCategoryScore                  ,43,$sfIntegrityCategoryScore                  ,43
35,InformationQualityCategory,26,35,9,$InformationQualityCategory         ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$InformationQualityCategoryWeight,$InformationQualityCategoryWeight         ,42,$bfInformationQualityCategoryEffectiveWeight         ,53,$sfInformationQualityCategoryEffectiveWeight         ,53,$bfInformationQualityCategoryScore         ,43,$sfInformationQualityCategoryScore         ,43
