Question No,Sub Area Full Code,Area,Sub Area Number,Sub Area,Specific Aspect,Best Practice Benchmark,Check List of Questions,
1,1.Vision & Mission - Company Vision,STRATEGY AND BUSINESS PLANNING,1,Vision & Mission ,Company Vision,"The owner(s) & management  have a clear and consistent understanding of the company’s vision. They demonstrate this by speaking to one image of the company’s future, its values and competitive position.","1.What do you wish your company to become?   
2. How do you want the company to be perceived in the market and community? 
3. What competitive position do you want the company to reach?",
2,1.Vision & Mission - Company Mission,STRATEGY AND BUSINESS PLANNING,1,Vision & Mission ,Company Mission,"The owner(s) & management have a clear and consistent understanding of the company’s mission and the needs, market and client that it satisfies. ","1.Why is the company in this business? 
2.Which  needs is the company meeting? 
3. What type of market is the company focusing on? 
4.What type of customer is the company focusing on?",
3,1.Vision & Mission - Role of Vision  & Mission in Strategic Decisions,STRATEGY AND BUSINESS PLANNING,1,Vision & Mission ,Role of Vision  & Mission in Strategic Decisions,"The Vision & Mission drive the company's business focus, strategies and use of resources.","1. How have you aligned the business focus to the Mission and Vision? 
2. How has this influenced you strategy. 
3. How do you ensure that decisions on use of resources support the company's business focus and strategy?",
4,1.Vision & Mission - Buy-in/Loyalty to Vision & Mission ,STRATEGY AND BUSINESS PLANNING,1,Vision & Mission ,Buy-in/Loyalty to Vision & Mission ,"Employees at all levels know the company’s Vision and Mission and live them, and the market also recognizes it. ","1. How is the Vision & Mission made visible to everyone? 
2. How do you encourage and incentivize employees to live the Vision and Mission? 
3. How is the Vision and Mission made visible in the market. 
4. How do you test market perceptions?",
5,2.Business Strategy- Business focus,STRATEGY AND BUSINESS PLANNING,2,Business Strategy,Business focus,The company knows how to compete and succeed in its chosen business  ,"1. How do you compete in this business? 
2. What are your key competitive advantages? 
3. How do you know you are succeeding?",
6,2.- Strategy Definition,STRATEGY AND BUSINESS PLANNING,2,,Strategy Definition,"The strategy is informed by opportunities and threats, as well the company's internal strengths and weaknesses (SWOT)","1. What opportunities influenced your strategy? 
2.What  threats influenced your strategy? 
3.What internal company strengths influenced the strategy? 
4.What internal company weaknesses influenced the strategy?",
7,2.- Strategic Objectives,STRATEGY AND BUSINESS PLANNING,2,,Strategic Objectives,"The overall company strategic objectives are reinforced by all business unit objectives, and are specific, measurable, achievable, realistic and within defined time lines (SMART).","1. Are the company's strategic objectives defined and understood by all business units? 
2. Do the business unit objectives reinforce the company objectives?  
3. Are all objectives SMART?",
8,2.- Coherence ,STRATEGY AND BUSINESS PLANNING,2,,Coherence ,"The Vision, Mission, Strategic and Operating Objectives are logical and linked, and create a coherent strategy","1. How do you ensure that the Vision, Mission, Strategy and operations are well synchronised? 
2. What tools and methods do used to test and ensure this? 
3. How do you make sure there are no opposing objectives?",
9,3.Strategic Planning Process- Planning Process,STRATEGY AND BUSINESS PLANNING,3,Strategic Planning Process,Planning Process,"Planning is formal, carried out at specified and regular intervals and involves all business units","1. Is planning done as a formal process? 
2.Is it documented? 
3. When is carried out?  
4.Who is involved?",
10,3.- Support Methods,STRATEGY AND BUSINESS PLANNING,3,,Support Methods,"The planning process uses appropriate methods and tools to analyse the internal and external environment, and to support objective decision making.","1. What methods and tools do you use in the planning process? 
2. How do you collect and analyse external and internal information used in the planning process? ",
11,3.- Programming,STRATEGY AND BUSINESS PLANNING,3,,Programming,"The planning process results in documented business plan, laying out strategic priorities, allocation of resources, timeframes and realistic assumptions","1. Do you have documented business plans and work plans? 
2.Is the business plan supported by a budget? 
3.Does the plan lay out the timeframes? 
4.Does it have clearly stated assumptions which have been tested?  ",
12,4.Measurement & Follow Up- Indicators & Monitoring ,STRATEGY AND BUSINESS PLANNING,4,Measurement & Follow Up,Indicators & Monitoring ,The company's business plan has objectively measurable indicators that enable management to track progress at regular intervals.,"1.What key performance indicators (KPIs) do you use? 
2. How often do you get a report on the KPIs? 
3. Do the reports highlight deviations? 
4.Who is responsible for taking corrective actions?",
13,4.-  Action Plans,STRATEGY AND BUSINESS PLANNING,4,, Action Plans,"There is a work plan for each key objective showing the tasks, activities, people in charge, budgets and reporting periods.","1. Do all the business units have work plans?       
2. Are they actively used to manage daily operations? 
3.How often do business units report on their activities?",
14,4.- Risk Mitigation Measures,STRATEGY AND BUSINESS PLANNING,4,,Risk Mitigation Measures,The plan provides mitigation measures in the event of unexpected changes and deviations to key variables and assumptions,"1. What are the main risks that your business faces? 
2. Are they short, medium or long term?   
3. Are they financial, operational, environmental or political. most critical factors that could affect this period's corporate results? 
4.What mitigation measures are in place to deal with imminent risks?",
15,101.Leadership Style- Attributes,LEADERSHIP,101,Leadership Style,Attributes,"The employees of the company understand you and what you stand for, and have respect and confidence in the direction you provide.  ","1. How would your employees describe you? 
2.Do your employees understand you and what you stand for, and how do you know this? 
3. How and when do employees seek you guidance on issues? 
4. What examples can you give to show the commitment of your employees to you and the company?   ",
16,101.- Controlled & Decisive,LEADERSHIP,101,,Controlled & Decisive,"Leaders/managers decisions are seen to be firm and fair, having taken into account the interests of the stakeholders in a balanced way. ","1. How do you make decisions that have an impact on the business and/or employees? 
2. How do you know when the decision has been understood and well received? ",
17,101.- Talent Development,SUCCESSION PLANNING,101,,Talent Development,The leaders/managers actively invest time and resources to nurture talent at all levels of the company. ,"1. How does your company identify talent? 
2.What resources have you set aside to nurture talent? 
3. What examples can you provide of employees who have benefited and grown in the company?",
18,101.- Conflict Management,LEADERSHIP,101,,Conflict Management,"The leaders/managers create an environment which mitigates conflicts, and when they arise, manages them in a timely and effective manner, using it as a learning experience for the company","1. What policies and codes of conduct are in place to manage potential conflicts? 
2. What mechanisms are in place to handle conflicts when they arise?  
3. Provide any examples on how conflicts have been mitigated or resolved effectively.",
19,102.Powers and Coordination- Line Functions & Authority,MANAGEMENT & LEADERSHIP,102,Powers and Coordination,Line Functions & Authority,"Leaders/managers have clear, formal line functions outlining level of authority, responsibility and accountability, and this is respected by the owners & executive management.","1. Do you have documented line functions & job descriptions? 
2. Do they have clear assignment of authority, responsibility and accountability each management position? 
3. Provide examples 
4. Have there been conflicts between managers on powers or responsibility, and if so, by example explain why it happened? ",
20,102.- Coordination,LEADERSHIP,102,,Coordination,"There are established and effective mechanisms and forums for leaders/managers/supervisors to account to the team, to build consensus, and to resolve issues. ","1. What mechanisms are used to ensure that there is accountability between department heads? 
2. How are issues presented and decided in the company? 
3. How are issues and differences relived. 
4. Give examples to show how the mechanism has worked?",
21,102.- Teamwork,LEADERSHIP,102,,Teamwork,The company actively promotes and rewards team work as a key success factor. ,"1.Is team work an important factor for success in your company? 
2.If yes, how do you foster and ensure good team work? 
3.What examples can you give of the importance of teamwork in your company? 
4. What examples can you give of recognition for good team work?",
22,102.- Delegation,MANAGEMENT,102,,Delegation,The leaders/managers delegate as a tool to increase efficiency and to develop of subordinates.,"1. What proportion of your time is taken up in managing, as opposed to doing? 
2. Is there room for you to delegate any of the managing and doing functions? 
3. Who acts for you when you are away? 
4. Who is ready to take over from you? 
5. Give examples of functions that you have delegated to your subordinates? ",
23,103.Management Competencies- Management Experience,MANAGEMENT,103,Management Competencies,Management Experience,"The leaders/managers have broad experience covering planning, organizing, implementing and controlling work in their functional areas.","1. Do you have current CVs of managers you employ, can I see them? 
2. Do you have job descriptions for each managers position and can I see them? 
3. How would you rate competencies of each of your managers (below average, average, above average)? 
4. How do you ensure that you managers continue to be up their tasks?",
24,103.- Initiative & Resourcefulness,MANAGEMENT,103,,Initiative & Resourcefulness,"The leaders/managers demonstrate an aptitude for creativity, problem solving, and innovation and contribute to continuous improvements in the company.","1. How do you foster creativity in your managers? 
2. Provide examples? 
3.Do the managers solve problems themselves or do they always call on you for solutions? 
4.Do your managers present new and fresh ideas on an ongoing basis? 
5. Provide recent examples",
